2025-10-11 11:40:58 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 11:40:58 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 13:59:50 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 13:59:50 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 14:00:08 | WARNING | app.services.matching.methods:find_suitable_jobs:20 | Resume 68ea0077f03a8a3fffb255a3 is not yet processed (status: ResumeStatus.PROCESSING). Please wait for processing to complete.
2025-10-11 14:01:17 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: other
2025-10-11 14:01:17 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 0 matching jobs
2025-10-11 14:02:48 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: other
2025-10-11 14:02:48 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 0 matching jobs
2025-10-11 14:03:09 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: other
2025-10-11 14:03:09 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 0 matching jobs
2025-10-11 14:08:47 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: other
2025-10-11 14:08:47 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 0 matching jobs
2025-10-11 14:09:06 | WARNING | app.services.matching.methods:find_suitable_jobs:20 | Resume 68ea0292f03a8a63bc458648 is not yet processed (status: ResumeStatus.PROCESSING). Please wait for processing to complete.
2025-10-11 14:10:11 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 14:10:11 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 14:12:33 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 14:12:33 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 14:14:34 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 14:14:34 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 14:23:19 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 14:23:19 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 14:28:45 | WARNING | app.services.matching.methods:find_suitable_jobs:20 | Resume 68ea0727f03a8a63bc458649 is not yet processed (status: ResumeStatus.PROCESSING). Please wait for processing to complete.
2025-10-11 14:32:09 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 14:32:09 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 14:33:24 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 14:33:24 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 14:38:46 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 14:38:46 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 17:35:23 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: software engineer
2025-10-11 17:35:23 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 14 matching jobs
2025-10-11 17:35:36 | WARNING | app.services.matching.methods:find_suitable_jobs:20 | Resume 68ea32f2f03a8a568f78c343 is not yet processed (status: ResumeStatus.PROCESSING). Please wait for processing to complete.
2025-10-11 17:37:45 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: system analyst
2025-10-11 17:37:45 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 0 matching jobs
2025-10-11 17:37:49 | INFO | app.services.matching.methods:find_suitable_jobs:28 | Searching jobs for category: system analyst
2025-10-11 17:37:49 | INFO | app.services.matching.methods:find_suitable_jobs:41 | Found 0 matching jobs
